Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL 1 DE MAYO,TERPEL,CALLE 26 SUR No. 51B-65,BIODIESEL EXTRA,8599,A,CALLE 26 SUR No. 51B-65,"CALLE 26 SUR No. 51B-65, Bogota  d.c., Colombia","(4.60444, -74.1244)",4.60444,-74.1244
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL 1 DE MAYO,TERPEL,CALLE 26 SUR No. 51B-65,GASOLINA CORRIENTE OXIGENADA,8813,A,CALLE 26 SUR No. 51B-65,"CALLE 26 SUR No. 51B-65, Bogota  d.c., Colombia","(4.60444, -74.1244)",4.60444,-74.1244
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ LAS ORQUIDEAS,PETROBRAS,CALLE 64 N° 113 A 95,BIODIESEL EXTRA,9040,A,CALLE 64 N° 113 A 95,"CALLE 64 N° 113 A 95, Bogota  d.c., Colombia","(4.70843, -74.1373)",4.70843,-74.1373
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ LAS ORQUIDEAS,PETROBRAS,CALLE 64 N° 113 A 95,GASOLINA CORRIENTE OXIGENADA,9210,A,CALLE 64 N° 113 A 95,"CALLE 64 N° 113 A 95, Bogota  d.c., Colombia","(4.70843, -74.1373)",4.70843,-74.1373
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL AVENIDA BOYACA SUR,TERPEL,AVENIDA CALLE 71 SUR No. 3 I-40,GASOLINA CORRIENTE OXIGENADA,8940,A,AVENIDA CALLE 71 SUR No. 3 I-40,"AVENIDA CALLE 71 SUR No. 3 I-40, Bogota  d.c., Colombia","(4.53821, -74.13065)",4.53821,-74.13065
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL AVENIDA BOYACA SUR,TERPEL,AVENIDA CALLE 71 SUR No. 3 I-40,GASOLINA EXTRA OXIGENADA,16050,A,AVENIDA CALLE 71 SUR No. 3 I-40,"AVENIDA CALLE 71 SUR No. 3 I-40, Bogota  d.c., Colombia","(4.53821, -74.13065)",4.53821,-74.13065
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS TERPEL AVENIDA BOYACA SUR,TERPEL,AVENIDA CALLE 71 SUR No. 3 I-40,BIODIESEL EXTRA,8720,A,AVENIDA CALLE 71 SUR No. 3 I-40,"AVENIDA CALLE 71 SUR No. 3 I-40, Bogota  d.c., Colombia","(4.53821, -74.13065)",4.53821,-74.13065
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS LOS ALPES,BIOMAX,CALLE 36 F BIS SUR No. 9 - 35 ESTE,GASOLINA CORRIENTE OXIGENADA,9211,A,CALLE 36 F BIS SUR No. 9 - 35 ESTE,"CALLE 36 F BIS SUR No. 9 - 35 ESTE, Bogota  d.c., Colombia","(4.55308, -74.08945)",4.55308,-74.08945
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS LOS ALPES,BIOMAX,CALLE 36 F BIS SUR No. 9 - 35 ESTE,BIODIESEL EXTRA,8995,A,CALLE 36 F BIS SUR No. 9 - 35 ESTE,"CALLE 36 F BIS SUR No. 9 - 35 ESTE, Bogota  d.c., Colombia","(4.55308, -74.08945)",4.55308,-74.08945
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ TEXACO 68,TEXACO,AVENIDA CARRERA 68 No.1A-84,BIODIESEL EXTRA,9000,A,AVENIDA CARRERA 68 No.1A-84,"AVENIDA CARRERA 68 No.1A-84, Bogota  d.c., Colombia","(4.64199, -74.11338)",4.64199,-74.11338
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ TEXACO 68,TEXACO,AVENIDA CARRERA 68 No.1A-84,GASOLINA EXTRA OXIGENADA,16000,A,AVENIDA CARRERA 68 No.1A-84,"AVENIDA CARRERA 68 No.1A-84, Bogota  d.c., Colombia","(4.64199, -74.11338)",4.64199,-74.11338
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ TEXACO 68,TEXACO,AVENIDA CARRERA 68 No.1A-84,GASOLINA CORRIENTE OXIGENADA,9500,A,AVENIDA CARRERA 68 No.1A-84,"AVENIDA CARRERA 68 No.1A-84, Bogota  d.c., Colombia","(4.64199, -74.11338)",4.64199,-74.11338
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO HATO GRANDE,BIOMAX,Avenida Calle 71 Sur No. 3H - 39,GASOLINA CORRIENTE OXIGENADA,9219,A,Avenida Calle 71 Sur No. 3H - 39,"Avenida Calle 71 Sur No. 3H - 39, Bogota  d.c., Colombia","(4.53779, -74.13111)",4.53779,-74.13111
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO HATO GRANDE,BIOMAX,Avenida Calle 71 Sur No. 3H - 39,BIODIESEL EXTRA,8929,A,Avenida Calle 71 Sur No. 3H - 39,"Avenida Calle 71 Sur No. 3H - 39, Bogota  d.c., Colombia","(4.53779, -74.13111)",4.53779,-74.13111
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ UNION PANAMERICANA ESTACION BOSA BRASIL,TEXACO,Carrera 88C No. 53A - 17 SUR,BIODIESEL EXTRA,9152,A,Carrera 88C No. 53A - 17 SUR,"Carrera 88C No. 53A - 17 SUR, Bogota  d.c., Colombia","(4.62965, -74.18332)",4.62965,-74.18332
