Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 65,PETROMIL,AV CARRERA 30 No. 64 A 89,GASOLINA EXTRA OXIGENADA,16690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 65,PETROMIL,AV CARRERA 30 No. 64 A 89,GASOLINA CORRIENTE OXIGENADA,8899,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 65,PETROMIL,AV CARRERA 30 No. 64 A 89,BIODIESEL EXTRA,9169,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 65,PETROMIL,AV CARRERA 30 No. 64 A 89,BIODIESEL EXTRA,9169,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 65,PETROMIL,AV CARRERA 30 No. 64 A 89,GASOLINA CORRIENTE OXIGENADA,9099,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 65,PETROMIL,AV CARRERA 30 No. 64 A 89,GASOLINA EXTRA OXIGENADA,16099,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS LA LOCOMOTORA,PETROBRAS,CR 99 NO. 20 C-83,BIODIESEL EXTRA,8650,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS LA LOCOMOTORA,PETROBRAS,CR 99 NO. 20 C-83,GASOLINA CORRIENTE OXIGENADA,8845,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 64,PETROMIL,CARRERA 72 No. 64 B - 16,GASOLINA EXTRA OXIGENADA,16100,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 64,PETROMIL,CARRERA 72 No. 64 B - 16,GASOLINA EXTRA OXIGENADA,16590,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 64,PETROMIL,CARRERA 72 No. 64 B - 16,BIODIESEL EXTRA,8690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 64,PETROMIL,CARRERA 72 No. 64 B - 16,GASOLINA CORRIENTE OXIGENADA,8890,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 64,PETROMIL,CARRERA 72 No. 64 B - 16,GASOLINA CORRIENTE OXIGENADA,8890,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 64,PETROMIL,CARRERA 72 No. 64 B - 16,BIODIESEL EXTRA,8690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 64,PETROMIL,CARRERA 72 No. 64 B - 16,GASOLINA CORRIENTE OXIGENADA,8890,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 64,PETROMIL,CARRERA 72 No. 64 B - 16,GASOLINA EXTRA OXIGENADA,16690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 64,PETROMIL,CARRERA 72 No. 64 B - 16,BIODIESEL EXTRA,8690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO EL CERRO 1,TEXACO,CALLE 6 No. 3A - 01 ESTE,GASOLINA EXTRA OXIGENADA,15795,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO EL CERRO 1,TEXACO,CALLE 6 No. 3A - 01 ESTE,GASOLINA CORRIENTE OXIGENADA,9190,A
